"DISTRICT_ID","GEO_ID","PROVINCE_ID","SUB_DISTRICT_CODE","SUB_DISTRICT_ID","SUB_DISTRICT_NAME"
477,3,32,"440111",4257,"หนองปลิง"
477,3,32,"440112",4258,"ห้วยแอ่ง"
477,3,32,"440113",4259,"หนองโน"
477,3,32,"440114",4260,"บัวค้อ"
478,3,32,"440201",4261,"แกดำ"
478,3,32,"440202",4262,"วังแสง"
478,3,32,"440203",4263,"มิตรภาพ"
478,3,32,"440204",4264,"หนองกุง"
478,3,32,"440205",4265,"โนนภิบาล"
479,3,32,"440301",4266,"หัวขวาง"
479,3,32,"440302",4267,"ยางน้อย"
479,3,32,"440303",4268,"วังยาว"
479,3,32,"440304",4269,"เขวาไร่"
479,3,32,"440305",4270,"แพง"
479,3,32,"440306",4271,"แก้งแก"
479,3,32,"440307",4272,"หนองเหล็ก"
479,3,32,"440308",4273,"หนองบัว"
479,3,32,"440309",4274,"เหล่า"
479,3,32,"440310",4275,"เขื่อน"
479,3,32,"440311",4276,"หนองบอน"
479,3,32,"440312",4277,"โพนงาม"
479,3,32,"440313",4278,"ยางท่าแจ้ง"
479,3,32,"440314",4279,"แห่ใต้"
479,3,32,"440315",4280,"หนองกุงสวรรค์"
479,3,32,"440316",4281,"เลิงใต้"
479,3,32,"440317",4282,"ดอนกลาง"
480,3,32,"440401",4283,"โคกพระ"
480,3,32,"440402",4284,"คันธารราษฎร์"
480,3,32,"440403",4285,"มะค่า"
480,3,32,"440404",4286,"ท่าขอนยาง"
480,3,32,"440405",4287,"นาสีนวน"
480,3,32,"440406",4288,"ขามเรียง"
480,3,32,"440407",4289,"เขวาใหญ่"
480,3,32,"440408",4290,"ศรีสุข"
480,3,32,"440409",4291,"กุดใส้จ่อ"
480,3,32,"440410",4292,"ขามเฒ่าพัฒนา"
481,3,32,"440501",4293,"เชียงยืน"
481,3,32,"440502",4294,"ชื่นชม*"
481,3,32,"440503",4295,"หนองซอน"
481,3,32,"440504",4296,"เหล่าดอกไม้*"
481,3,32,"440505",4297,"ดอนเงิน"
481,3,32,"440506",4298,"กู่ทอง"
481,3,32,"440507",4299,"นาทอง"
481,3,32,"440508",4300,"เสือเฒ่า"
481,3,32,"440509",4301,"กุดปลาดุก*"
481,3,32,"440510",4302,"หนองกุง*"
481,3,32,"440511",4303,"โพนทอง"
481,3,32,"440512",4304,"เหล่าบัวบาน"
482,3,32,"440601",4305,"บรบือ"
482,3,32,"440602",4306,"บ่อใหญ่"
482,3,32,"440603",4307,"*กุดรัง"
482,3,32,"440604",4308,"วังไชย"
482,3,32,"440605",4309,"หนองม่วง"
482,3,32,"440606",4310,"กำพี้"
482,3,32,"440607",4311,"โนนราษี"
482,3,32,"440608",4312,"โนนแดง"
482,3,32,"440609",4313,"*เลิงแฝก"
482,3,32,"440610",4314,"หนองจิก"
482,3,32,"440611",4315,"บัวมาศ"
482,3,32,"440612",4316,"*นาโพธิ์"
482,3,32,"440613",4317,"หนองคูขาด"
482,3,32,"440614",4318,"*หนองแวง"
482,3,32,"440615",4319,"วังใหม่"
482,3,32,"440616",4320,"ยาง"
482,3,32,"440617",4321,"*ห้วยเตย"
482,3,32,"440618",4322,"หนองสิม"
482,3,32,"440619",4323,"หนองโก"
482,3,32,"440620",4324,"ดอนงัว"
483,3,32,"440701",4325,"นาเชือก"
483,3,32,"440702",4326,"สำโรง"
483,3,32,"440703",4327,"หนองแดง"
483,3,32,"440704",4328,"เขวาไร่"
483,3,32,"440705",4329,"หนองโพธิ์"
483,3,32,"440706",4330,"ปอพาน"
483,3,32,"440707",4331,"หนองเม็ก"
483,3,32,"440708",4332,"หนองเรือ"
483,3,32,"440709",4333,"หนองกุง"
483,3,32,"440710",4334,"สันป่าตอง"
484,3,32,"440801",4335,"ปะหลาน"
